Concept,Prerequisite,label_prereq
Student's t-test,Sample (statistics),1
DBSCAN,Arithmetic mean,1
Biclustering,Arithmetic mean,1
Spectral clustering,Data analysis,1
OPTICS algorithm,Arithmetic mean,1
Pruning (decision trees),Probability density function,1
Maximum likelihood,Likelihood function,1
Multiclass classification,Machine learning,1
Decision tree model,Conditional probability,1
Random forest,Conditional probability,1
Pruning (decision trees),Decision tree learning,1
Spectral clustering,Standard deviation,1
Interquartile range,Median,1
Bayesian network,Probability density function,1
Data mining,Outlier,1
Naive Bayes classifier,Probability density function,1
Boosting (machine learning),Probability density function,1
Level of measurement,Median,1
Interquartile range,Statistical dispersion,1
K-means clustering,Machine learning,1
Statistical hypothesis testing,Confidence interval,1
Support vector machine,Probability density function,1
OPTICS algorithm,Standard deviation,1
Maximum likelihood,Conditional probability distribution,1
K-medoids,Arithmetic mean,1
Statistical significance,Confidence interval,1
Feedforward neural network,Statistical classification,1
K-medoids,Data analysis,1
Statistical significance,Sample (statistics),1
Bayesian network,Prior probability,1
Boosting (machine learning),Joint probability distribution,1
Hierarchical clustering,Standard deviation,1
F1 score,Confidence interval,1
Biclustering,Correlation and dependence,1
Biclustering,Cluster analysis,1
Data mining,Confidence interval,1
Feedforward neural network,Joint probability distribution,1
Precision and recall,Type I and type II errors,1
Mixture model,Data analysis,1
Expectation–maximization algorithm,Maximum likelihood,1
Clustering high-dimensional data,Data analysis,1
Spectral clustering,Dimensionality reduction,1
DBSCAN,Cluster analysis,1
Least squares,Regression analysis,1
Hierarchical clustering,Cluster analysis,1
Random forest,Decision tree learning,1
Bayesian network,Posterior probability,1
Clustering high-dimensional data,Correlation and dependence,1
Cluster analysis,Correlation and dependence,1
Decision tree model,Statistical classification,1
DBSCAN,Standard deviation,1
Precision and recall,Standard deviation,1
Type I and type II errors,Confidence interval,1
Poisson regression,Regression analysis,1
Fuzzy clustering,Standard deviation,1
Decision tree learning,Conditional probability,1
DBSCAN,Data analysis,1
