Split_Type,Fold_number,Number_of_unique_concepts,Percentage_of_non_transitive_edges,Percentage_of_NonPrerequisite_Relations,Percentage_of_Edges_Inferable_by_Transitivity_in_Test_Split
ALL,-1,89,20.99236641221374,68.82807852468768,
Train,1,89,20.952380952380953,68.77323420074349,
Test,1,84,21.153846153846153,69.04761904761905,0.0
Train,2,89,20.952380952380953,68.77323420074349,
Test,2,84,21.153846153846153,69.04761904761905,0.0
Train,3,89,20.952380952380953,68.77323420074349,
Test,3,86,21.153846153846153,69.04761904761905,0.0
Train,4,89,20.952380952380953,68.77323420074349,
Test,4,87,21.153846153846153,69.04761904761905,0.0
Train,5,89,20.952380952380953,68.77323420074349,
Test,5,86,21.153846153846153,69.04761904761905,0.0
