Split_Type,Fold_number,Number_of_unique_concepts,Percentage_of_non_transitive_edges,Percentage_of_NonPrerequisite_Relations,Percentage_of_Edges_Inferable_by_Transitivity_in_Test_Split
ALL,-1,153,36.75564681724846,75.17838939857289,
Train,1,153,36.666666666666664,75.15923566878982,
Test,1,129,37.11340206185567,75.25510204081633,0.0
Train,2,151,36.666666666666664,75.15923566878982,
Test,2,136,37.11340206185567,75.25510204081633,0.0
Train,3,150,36.666666666666664,75.15923566878982,
Test,3,139,37.11340206185567,75.25510204081633,0.0
Train,4,151,36.666666666666664,75.15923566878982,
Test,4,132,37.11340206185567,75.25510204081633,0.0
Train,5,148,36.666666666666664,75.15923566878982,
Test,5,136,37.11340206185567,75.25510204081633,0.0
