Concept,Prerequisite,label_prereq
Gravitational acceleration,Position (vector),1
Newton's laws of motion,Motion (physics),1
Electrostatics,Distance,1
Electrical resistance and conductance,Ohm's law,1
Le Sage's theory of gravitation,Mass,1
Projectile motion,Gravity,1
Normal force,Force,1
Gravity of Earth,Position (vector),1
Acceleration,Position (vector),1
Work (physics),Force,1
Acceleration,Displacement (vector),1
Shock wave,Distance,1
Projectile motion,Distance,1
Gravity of Earth,Motion (physics),1
Electric potential energy,Work (physics),1
Photoelectric effect,Physics,1
Emission spectrum,Electron,1
Electrical resistance and conductance,Electric current,1
Dispersion (optics),Light,1
Doppler effect,Physics,1
Gravitational acceleration,Displacement (vector),1
Hardness,Elasticity (physics),1
Speed,Motion (physics),1
Potential energy,Physics,1
Gravitational constant,Force,1
Snell's law,Speed,1
Equations of motion,Physics,1
Sound intensity,Energy,1
Collision,Physics,1
Electromagnetic spectrum,Field (physics),1
Total internal reflection,Refraction,1
Gravitational constant,Physics,1
Inertial frame of reference,Distance,1
Electromagnetic spectrum,Force,1
Newton's law of universal gravitation,Physics,1
Electric potential,Distance,1
Refractive index,Wave,1
Doppler effect,Wave,1
Electromotive force,Voltage,1
Electric field,Energy,1
Insulator (electricity),Electric current,1
Motion graphs and derivatives,Euclidean vector,1
Frame of reference,Physics,1
Electromagnetic spectrum,Energy,1
Energy level,Energy,1
Electric potential,Electric field,1
Gravitational constant,Gravity,1
Strength of materials,Plasticity (physics),1
Newton's law of universal gravitation,Gravity,1
Photoelectric effect,Electron,1
Free fall,Gravitational acceleration,1
Mechanical energy,Euclidean vector,1
Electric potential,Motion (physics),1
Emission spectrum,Force,1
Electric potential,Euclidean vector,1
Transverse wave,Physics,1
Tension (physics),Physics,1
Electrical resistance and conductance,Voltage,1
Mirror image,Reflection (physics),1
Tension (physics),Force,1
Electromagnetic radiation,Magnetic field,1
Emission spectrum,Energy level,1
Inertial frame of reference,Speed,1
Specular reflection,Angle of incidence,1
Inelastic collision,Mass,1
Interference (wave propagation),Physics,1
Standing wave,Interference (wave propagation),1
Force,Physics,1
Gravity,Force,1
Work (physics),Position (vector),1
Sonic boom,Sound,1
Energy,Physics,1
Electromagnetic spectrum,Wavelength,1
Gravitational field,Distance,1
Gravitational field,Force,1
Specular reflection,Wave,1
Gravitational acceleration,Acceleration,1
Friction,Contact force,1
Reflection (physics),Physics,1
Strength of materials,Force,1
