Split_Type,Fold_number,Number_of_unique_concepts,Percentage_of_non_transitive_edges,Percentage_of_NonPrerequisite_Relations,Percentage_of_Edges_Inferable_by_Transitivity_in_Test_Split
ALL,-1,120,38.35616438356164,64.64891041162227,
Train,1,117,39.57446808510638,64.39393939393939,
Test,1,88,33.33333333333333,65.66265060240963,26.31578947368421
Train,2,119,38.793103448275865,64.90166414523449,
Test,2,95,36.666666666666664,63.63636363636363,51.66666666666667
Train,3,118,37.391304347826086,65.20423600605145,
Test,3,88,41.935483870967744,62.42424242424243,33.87096774193548
Train,4,115,36.40167364016737,63.842662632375195,
Test,4,91,47.16981132075472,67.87878787878789,35.84905660377358
Train,5,118,39.6551724137931,64.90166414523449,
Test,5,93,33.33333333333333,63.63636363636363,33.33333333333333
