index,Concept,Prerequisite,label_prereq
0,Student's t-test,Sample (statistics),1
2,Biclustering,Arithmetic mean,1
3,Spectral clustering,Data analysis,1
5,Pruning (decision trees),Probability density function,1
6,Maximum likelihood,Likelihood function,1
7,Multiclass classification,Machine learning,1
8,Decision tree model,Conditional probability,1
9,Random forest,Conditional probability,1
10,Pruning (decision trees),Decision tree learning,1
11,Spectral clustering,Standard deviation,1
12,Interquartile range,Median,1
15,Data mining,Outlier,1
16,Anomaly detection,Cluster analysis,1
17,Artificial neural network,Statistical classification,1
18,F1 score,Statistical population,1
19,AdaBoost,Ensemble learning,1
22,Boosting (machine learning),Probability density function,1
23,Maximum likelihood,Conditional probability,1
24,Level of measurement,Median,1
25,Interquartile range,Statistical dispersion,1
26,K-means clustering,Machine learning,1
28,Mutation (genetic algorithm),Natural selection,1
29,Support vector machine,Probability density function,1
30,OPTICS algorithm,Standard deviation,1
31,Maximum likelihood,Conditional probability distribution,1
33,Statistical significance,Confidence interval,1
36,Statistical significance,Sample (statistics),1
37,Bayesian network,Prior probability,1
38,Boosting (machine learning),Joint probability distribution,1
39,Hierarchical clustering,Standard deviation,1
41,Biclustering,Correlation and dependence,1
42,Biclustering,Cluster analysis,1
43,Sensitivity and specificity,Statistical classification,1
44,Data mining,Confidence interval,1
45,Decision tree learning,Decision tree,1
46,Feedforward neural network,Joint probability distribution,1
48,Mixture model,Data analysis,1
49,Expectation–maximization algorithm,Maximum likelihood,1
50,Clustering high-dimensional data,Data analysis,1
51,Spectral clustering,Dimensionality reduction,1
53,Decision tree learning,Statistical classification,1
54,Decision tree learning,Machine learning,1
55,DBSCAN,Cluster analysis,1
56,Least squares,Regression analysis,1
57,Hierarchical clustering,Cluster analysis,1
59,Precision and recall,Statistical population,1
60,Random forest,Decision tree learning,1
61,Bayesian network,Posterior probability,1
63,Cluster analysis,Correlation and dependence,1
65,DBSCAN,Standard deviation,1
66,Precision and recall,Standard deviation,1
67,Expectation–maximization algorithm,Conditional probability,1
68,Type I and type II errors,Confidence interval,1
69,Support vector machine,Machine learning,1
70,Poisson regression,Regression analysis,1
72,Decision tree learning,Conditional probability,1
73,Poisson regression,Conditional probability,1
74,DBSCAN,Data analysis,1
75,Conditional independence,Conditional probability,1
