Split_Type,Fold_number,Number_of_unique_concepts,Percentage_of_non_transitive_edges,Percentage_of_NonPrerequisite_Relations,Percentage_of_Edges_Inferable_by_Transitivity_in_Test_Split
ALL,-1,89,20.99236641221374,68.82807852468768,
Train,1,89,20.537897310513447,69.56845238095238,
Test,1,88,22.608695652173914,65.8753709198813,65.21739130434783
Train,2,89,23.239436619718308,68.32713754646839,
Test,2,86,11.224489795918368,70.83333333333334,85.71428571428571
Train,3,89,21.48148148148148,69.88847583643123,
Test,3,88,19.327731092436977,64.58333333333334,69.74789915966386
Train,4,89,19.437939110070257,68.25278810408922,
Test,4,85,27.835051546391753,71.13095238095238,60.824742268041234
Train,5,89,20.27972027972028,68.10408921933086,
Test,5,89,24.210526315789473,71.72619047619048,73.68421052631578
