Concept,Prerequisite,label_prereq
Bisection,Point (geometry),1
Edge (geometry),Line (geometry),1
Quadrilateral,Geometry,1
Quadrilateral,Point (geometry),1
Tangent,Angle,1
Grade (slope),Geometry,1
Square,Line segment,1
Isosceles triangle,Triangle,1
Square,Polygon,1
Convex polygon,Polygon,1
Rhombus,Line (geometry),1
Inverse trigonometric functions,Angle,1
Reflection symmetry,Reflection (mathematics),1
Concentric,Geometry,1
Bisection,Midpoint,1
Rotation (mathematics),Geometry,1
Parallel (geometry),Line (geometry),1
Pythagorean triple,Pythagorean theorem,1
Coordinate system,Two-dimensional space,1
Pythagorean triple,Right triangle,1
Equilateral triangle,Vertex (geometry),1
Line segment,Geometry,1
Kite (geometry),Line (geometry),1
Angle bisector theorem,Line segment,1
Two-dimensional space,Plane (geometry),1
Heptagon,Line segment,1
Exterior angle theorem,Angle,1
Hexagon,Vertex (geometry),1
Secant line,Geometry,1
Rhombus,Quadrilateral,1
Right angle,Angle,1
Diameter,Line (geometry),1
Heptagon,Geometry,1
Dodecagon,Edge (geometry),1
Isosceles triangle,Edge (geometry),1
Triangle,Geometry,1
Hendecagon,Line segment,1
Sine,Angle,1
Tangent,Geometry,1
Cartesian coordinate system,Coordinate system,1
Kite (geometry),Angle,1
Cartesian coordinate system,Perpendicular,1
Pentagon,Polygon,1
Internal and external angle,Line segment,1
Congruence (geometry),Angle,1
Square,Geometry,1
Coordinate system,Plane (geometry),1
Exterior angle theorem,Line segment,1
Pentagon,Edge (geometry),1
Decagon,Vertex (geometry),1
Rectangle,Point (geometry),1
Rotational symmetry,Symmetry,1
Rhombus,Edge (geometry),1
Right triangle,Polygon,1
Right triangle,Vertex (geometry),1
Heptagon,Vertex (geometry),1
Pyramid (geometry),Line segment,1
Prism (geometry),Polygon,1
Rhombus,Parallelogram,1
Collinearity,Point (geometry),1
Acute and obtuse triangles,Triangle,1
Trigonometric functions,Line (geometry),1
Star polygon,Angle,1
Arc length,Distance,1
Rectangle,Right angle,1
Inverse trigonometric functions,Trigonometric functions,1
Chord (geometry),Geometry,1
Chord (geometry),Point (geometry),1
Right angle,Geometry,1
Sine,Trigonometric functions,1
Right triangle,Geometry,1
Kite (geometry),Vertex (geometry),1
Self-similarity,Symmetry,1
Decagon,Geometry,1
Altitude (triangle),Geometry,1
Edge (geometry),Line segment,1
Equilateral triangle,Angle,1
Rigid transformation,Rotation (mathematics),1
Midpoint,Point (geometry),1
Sine,Point (geometry),1
Convex polygon,Edge (geometry),1
Kite (geometry),Point (geometry),1
Skew lines,Plane (geometry),1
Polyhedron,Geometry,1
Heptagon,Angle,1
Polyhedron,Point (geometry),1
Rigid transformation,Geometry,1
Nonagon,Angle,1
Rectangle,Line (geometry),1
Reflection (mathematics),Line (geometry),1
Rectangle,Angle,1
Equilateral triangle,Geometry,1
Sphere,Geometry,1
Internal and external angle,Vertex (geometry),1
Octagon,Geometry,1
Acute and obtuse triangles,Vertex (geometry),1
Diameter,Line segment,1
Sine,Polygon,1
Transversal (geometry),Plane (geometry),1
Pythagorean triple,Triangle,1
Polyhedron,Line (geometry),1
Square,Vertex (geometry),1
Angle bisector theorem,Polygon,1
Pentagon,Angle,1
Rigid transformation,Point (geometry),1
Rigid transformation,Reflection (mathematics),1
Hendecagon,Angle,1
Cylinder (geometry),Circle,1
Exterior angle theorem,Edge (geometry),1
Decagon,Edge (geometry),1
Arc length,Arc (geometry),1
Trigonometric functions,Point (geometry),1
Secant line,Point (geometry),1
Altitude (triangle),Line (geometry),1
Star polygon,Edge (geometry),1
Decagon,Line (geometry),1
Transversal (geometry),Angle,1
Self-similarity,Similarity (geometry),1
Rectangle,Vertex (geometry),1
Altitude (triangle),Point (geometry),1
Prism (geometry),Point (geometry),1
Right angle,Line (geometry),1
Nonagon,Vertex (geometry),1
Kite (geometry),Edge (geometry),1
Triangle,Angle,1
Altitude (triangle),Polygon,1
Sphere,Circle,1
Inverse trigonometric functions,Line segment,1
Angle bisector theorem,Point (geometry),1
Polygon,Geometry,1
Circumference,Circle,1
Diameter,Radius,1
Star polygon,Vertex (geometry),1
Triangle inequality,Triangle,1
Convex polygon,Point (geometry),1
Quadrilateral,Vertex (geometry),1
Rotation (mathematics),Angle,1
Hexagon,Geometry,1
Midpoint,Line (geometry),1
Pyramid (geometry),Edge (geometry),1
Cross section (geometry),Plane (geometry),1
Vertex (geometry),Geometry,1
Congruence (geometry),Line (geometry),1
Diagonal,Vertex (geometry),1
Self-similarity,Geometry,1
Right triangle,Right angle,1
Pythagorean triple,Line (geometry),1
Arc (geometry),Geometry,1
Cartesian coordinate system,Point (geometry),1
Diagonal,Line segment,1
Cartesian coordinate system,Two-dimensional space,1
Trigonometric functions,Triangle,1
Special right triangles,Line segment,1
Decagon,Point (geometry),1
Pentagon,Point (geometry),1
Rotation (mathematics),Symmetry,1
Acute and obtuse triangles,Geometry,1
Exterior angle theorem,Geometry,1
Exterior angle theorem,Point (geometry),1
Angle bisector theorem,Geometry,1
Tangent,Line (geometry),1
Rectangle,Quadrilateral,1
Triangle,Line (geometry),1
Internal and external angle,Line (geometry),1
Slope,Geometry,1
Rotational symmetry,Rotation (mathematics),1
Prism (geometry),Geometry,1
Triangle inequality,Vertex (geometry),1
Vertex (geometry),Point (geometry),1
Inverse trigonometric functions,Geometry,1
Exterior angle theorem,Internal and external angle,1
Hexagon,Line segment,1
Parallelogram,Geometry,1
Congruence (geometry),Point (geometry),1
Kite (geometry),Geometry,1
Point (geometry),Geometry,1
Cartesian coordinate system,Plane (geometry),1
Altitude (triangle),Vertex (geometry),1
Polygon,Point (geometry),1
Rotation (mathematics),Line (geometry),1
Triangle,Edge (geometry),1
Triangle inequality,Polygon,1
Reflection symmetry,Point (geometry),1
Hexagon,Polygon,1
Nonagon,Line (geometry),1
Quadrilateral,Polygon,1
Rectangle,Parallelogram,1
Tangent,Point (geometry),1
Rhombus,Geometry,1
Cartesian coordinate system,Angle,1
Reflection (mathematics),Symmetry,1
Pyramid (geometry),Geometry,1
Hendecagon,Edge (geometry),1
Equilateral triangle,Line (geometry),1
Quadrilateral,Line (geometry),1
Bisection,Perpendicular,1
Trapezoid,Line (geometry),1
Right triangle,Triangle,1
Tangent,Trigonometric functions,1
Prism (geometry),Polyhedron,1
Bisection,Line segment,1
Rectangle,Geometry,1
Angle bisector theorem,Triangle,1
Diagonal,Line (geometry),1
Triangle,Polygon,1
Octagon,Angle,1
Equilateral triangle,Polygon,1
Square,Parallel (geometry),1
Parallelogram,Line segment,1
Rotation (mathematics),Point (geometry),1
Sine,Triangle,1
Heptagon,Polygon,1
Isosceles triangle,Angle,1
Trapezoid,Point (geometry),1
Face (geometry),Geometry,1
Inverse trigonometric functions,Triangle,1
Special right triangles,Edge (geometry),1
Right triangle,Line (geometry),1
Rotational symmetry,Geometry,1
Rectangle,Polygon,1
Triangle,Vertex (geometry),1
Acute and obtuse triangles,Line segment,1
Pythagorean theorem,Triangle,1
Prism (geometry),Edge (geometry),1
Polygon,Angle,1
Prism (geometry),Line (geometry),1
Internal and external angle,Point (geometry),1
Special right triangles,Angle,1
Diagonal,Edge (geometry),1
Rhombus,Polygon,1
Triangle,Point (geometry),1
Triangle inequality,Line (geometry),1
Altitude (triangle),Line segment,1
Skew lines,Line (geometry),1
Edge (geometry),Point (geometry),1
Sine,Line (geometry),1
Octagon,Edge (geometry),1
Exterior angle theorem,Triangle,1
Grade (slope),Point (geometry),1
Acute and obtuse triangles,Edge (geometry),1
Hendecagon,Polygon,1
Pythagorean triple,Point (geometry),1
Special right triangles,Polygon,1
Pythagorean theorem,Polygon,1
Hendecagon,Point (geometry),1
Nonagon,Edge (geometry),1
Convex polygon,Line segment,1
Diameter,Chord (geometry),1
Dodecagon,Geometry,1
Quadrilateral,Edge (geometry),1
Angle,Geometry,1
Hendecagon,Line (geometry),1
Bisection,Angle,1
Rectangle,Edge (geometry),1
Transversal (geometry),Line (geometry),1
Chord (geometry),Line segment,1
Reflection (mathematics),Point (geometry),1
Altitude (triangle),Angle,1
Chord (geometry),Circle,1
Skew lines,Geometry,1
Quadrilateral,Angle,1
Pythagorean theorem,Vertex (geometry),1
Hexagon,Edge (geometry),1
Rectangle,Line segment,1
Convex polygon,Vertex (geometry),1
Tessellation,Geometry,1
Arc length,Geometry,1
Dodecagon,Line segment,1
Decagon,Line segment,1
Heptagon,Line (geometry),1
Pythagorean theorem,Point (geometry),1
Radius,Line (geometry),1
Kite (geometry),Line segment,1
Convex polygon,Angle,1
Angle bisector theorem,Vertex (geometry),1
Exterior angle theorem,Vertex (geometry),1
Tangent,Triangle,1
Star polygon,Geometry,1
Internal and external angle,Edge (geometry),1
Polyhedron,Line segment,1
Isosceles triangle,Geometry,1
Two-dimensional space,Geometry,1
Octagon,Point (geometry),1
Rhombus,Line segment,1
Square,Point (geometry),1
Diagonal,Geometry,1
Reflection (mathematics),Rotation (mathematics),1
Kite (geometry),Quadrilateral,1
Octagon,Line (geometry),1
Pentagon,Line (geometry),1
Acute and obtuse triangles,Polygon,1
Edge (geometry),Geometry,1
Right angle,Point (geometry),1
Exterior angle theorem,Polygon,1
Dodecagon,Polygon,1
Decagon,Angle,1
Sine,Line segment,1
Internal and external angle,Polygon,1
Tangent,Edge (geometry),1
Plane (geometry),Geometry,1
Pyramid (geometry),Line (geometry),1
Two-dimensional space,Point (geometry),1
Pythagorean theorem,Geometry,1
Arc length,Circle,1
Polygon,Vertex (geometry),1
Acute and obtuse triangles,Line (geometry),1
Parallelogram,Point (geometry),1
Prism (geometry),Vertex (geometry),1
Sine,Vertex (geometry),1
Rigid transformation,Line (geometry),1
Nonagon,Geometry,1
Dodecagon,Vertex (geometry),1
Skew lines,Point (geometry),1
Pyramid (geometry),Polygon,1
Triangle inequality,Edge (geometry),1
Prism (geometry),Line segment,1
Perpendicular,Point (geometry),1
Parallel (geometry),Point (geometry),1
Perpendicular,Geometry,1
Slope,Point (geometry),1
Inverse trigonometric functions,Edge (geometry),1
Polyhedron,Angle,1
Triangle inequality,Angle,1
Angle bisector theorem,Bisection,1
Hexagon,Angle,1
Special right triangles,Right triangle,1
Parallelogram,Line (geometry),1
Star polygon,Line (geometry),1
Altitude (triangle),Edge (geometry),1
Right triangle,Edge (geometry),1
Cylinder (geometry),Geometry,1
Pentagon,Geometry,1
Pythagorean theorem,Right angle,1
Rigid transformation,Translation (geometry),1
Angle bisector theorem,Midpoint,1
Star polygon,Polygon,1
Square,Angle,1
Internal and external angle,Geometry,1
Angle bisector theorem,Edge (geometry),1
Inverse trigonometric functions,Sine,1
Diagonal,Point (geometry),1
Edge (geometry),Vertex (geometry),1
Angle bisector theorem,Line (geometry),1
Pythagorean theorem,Angle,1
Exterior angle theorem,Line (geometry),1
Radius,Circle,1
Transversal (geometry),Geometry,1
Diagonal,Polygon,1
Triangle,Line segment,1
Decagon,Polygon,1
Pythagorean triple,Geometry,1
Pythagorean triple,Right angle,1
Pythagorean triple,Angle,1
Parallelogram,Vertex (geometry),1
Translation (geometry),Geometry,1
Convex polygon,Line (geometry),1
Nonagon,Point (geometry),1
Midpoint,Geometry,1
Hexagon,Line (geometry),1
Transversal (geometry),Point (geometry),1
Collinearity,Line (geometry),1
Nonagon,Polygon,1
Bisection,Geometry,1
Pythagorean triple,Vertex (geometry),1
Triangle inequality,Geometry,1
Isosceles triangle,Line segment,1
Triangle inequality,Point (geometry),1
Pythagorean theorem,Right triangle,1
Polygon,Line (geometry),1
Hexagon,Point (geometry),1
Special right triangles,Geometry,1
Internal and external angle,Angle,1
Cartesian coordinate system,Distance,1
Special right triangles,Point (geometry),1
Pentagon,Line segment,1
Parallelogram,Polygon,1
Diameter,Geometry,1
Altitude (triangle),Distance,1
Kite (geometry),Polygon,1
Midpoint,Line segment,1
Parallelogram,Quadrilateral,1
Tangent,Vertex (geometry),1
Congruence (geometry),Polygon,1
Secant line,Line (geometry),1
Polyhedron,Polygon,1
Reflection symmetry,Rotation (mathematics),1
Dodecagon,Point (geometry),1
Angle,Point (geometry),1
Grade (slope),Angle,1
Skew lines,Parallel (geometry),1
Sine,Edge (geometry),1
Trigonometric functions,Angle,1
Tangent,Line segment,1
Rotational symmetry,Angle,1
Polyhedron,Vertex (geometry),1
Isosceles triangle,Vertex (geometry),1
Right triangle,Angle,1
Perpendicular,Line (geometry),1
Polygon,Edge (geometry),1
Angle bisector theorem,Perpendicular,1
Congruence (geometry),Edge (geometry),1
Similarity (geometry),Geometry,1
Tangent,Polygon,1
Parallel (geometry),Geometry,1
Rectangle,Parallel (geometry),1
Parallelogram,Rotational symmetry,0
Angle,Pythagorean theorem,0
Edge (geometry),Acute and obtuse triangles,0
