index,Concept,Prerequisite,label_prereq
0,Congruence (geometry),Line segment,1
2,Cartesian coordinate system,Line (geometry),1
3,Arc (geometry),Circle,1
4,Edge (geometry),Line (geometry),1
5,Diameter,Point (geometry),1
6,Square,Edge (geometry),1
7,Polygon,Line segment,1
9,Quadrilateral,Point (geometry),1
10,Tangent,Angle,1
11,Grade (slope),Geometry,1
12,Grade (slope),Line (geometry),1
15,Square,Polygon,1
16,Convex polygon,Polygon,1
17,Rhombus,Line (geometry),1
18,Inverse trigonometric functions,Angle,1
19,Reflection symmetry,Reflection (mathematics),1
22,Rotation (mathematics),Geometry,1
23,Parallel (geometry),Line (geometry),1
24,Special right triangles,Right angle,1
25,Special right triangles,Triangle,1
27,Circle,Geometry,1
28,Coordinate system,Two-dimensional space,1
29,Pythagorean triple,Right triangle,1
30,Equilateral triangle,Vertex (geometry),1
31,Line segment,Geometry,1
32,Kite (geometry),Line (geometry),1
33,Radius,Line segment,1
35,Two-dimensional space,Plane (geometry),1
36,Heptagon,Line segment,1
38,Hexagon,Vertex (geometry),1
39,Dodecagon,Angle,1
41,Rhombus,Quadrilateral,1
42,Coordinate system,Geometry,1
43,Right angle,Angle,1
44,Diameter,Line (geometry),1
45,Right triangle,Point (geometry),1
46,Heptagon,Geometry,1
47,Scaling (geometry),Scale factor,1
48,Dodecagon,Edge (geometry),1
49,Isosceles triangle,Edge (geometry),1
50,Triangle,Geometry,1
51,Hendecagon,Line segment,1
52,Polyhedron,Edge (geometry),1
54,Tangent,Geometry,1
55,Star polygon,Line segment,1
56,Cartesian coordinate system,Coordinate system,1
57,Kite (geometry),Angle,1
58,Cartesian coordinate system,Perpendicular,1
59,Pentagon,Polygon,1
60,Hendecagon,Vertex (geometry),1
61,Internal and external angle,Line segment,1
62,Convex polygon,Geometry,1
63,Congruence (geometry),Angle,1
65,Coordinate system,Plane (geometry),1
66,Parallelogram,Edge (geometry),1
67,Exterior angle theorem,Line segment,1
68,Special right triangles,Vertex (geometry),1
69,Pentagon,Edge (geometry),1
70,Decagon,Vertex (geometry),1
71,Perpendicular,Angle,1
72,Reflection symmetry,Symmetry,1
73,Rectangle,Point (geometry),1
74,Trigonometric functions,Polygon,1
75,Rotational symmetry,Symmetry,1
76,Rhombus,Edge (geometry),1
77,Translation (geometry),Symmetry,1
78,Right triangle,Polygon,1
79,Right triangle,Vertex (geometry),1
80,Reflection symmetry,Line (geometry),1
81,Heptagon,Vertex (geometry),1
82,Cone,Geometry,1
83,Pyramid (geometry),Line segment,1
84,Pythagorean triple,Line segment,1
85,Sine,Geometry,1
86,Prism (geometry),Polygon,1
88,Collinearity,Point (geometry),1
89,Acute and obtuse triangles,Triangle,1
90,Trigonometric functions,Line (geometry),1
92,Parallelogram,Parallel (geometry),1
93,Arc length,Distance,1
94,Rhombus,Vertex (geometry),1
96,Inverse trigonometric functions,Trigonometric functions,1
97,Trigonometric functions,Edge (geometry),1
99,Chord (geometry),Point (geometry),1
100,Right angle,Geometry,1
101,Sine,Trigonometric functions,1
102,Diagonal,Angle,1
104,Coordinate system,Point (geometry),1
105,Inverse trigonometric functions,Vertex (geometry),1
106,Pythagorean theorem,Edge (geometry),1
107,Kite (geometry),Vertex (geometry),1
108,Self-similarity,Symmetry,1
109,Decagon,Geometry,1
110,Altitude (triangle),Triangle,1
111,Altitude (triangle),Geometry,1
113,Equilateral triangle,Angle,1
114,Rigid transformation,Rotation (mathematics),1
115,Midpoint,Point (geometry),1
116,Sine,Point (geometry),1
117,Square,Quadrilateral,1
118,Convex polygon,Edge (geometry),1
119,Kite (geometry),Point (geometry),1
120,Trapezoid,Angle,1
123,Heptagon,Angle,1
124,Polyhedron,Point (geometry),1
