index,Concept,Prerequisite,label_prereq
0,Differential equation,Number,1
1,Exponentiation,Number,1
3,Asymptote,Line (geometry),1
4,Descartes' rule of signs,Number,1
5,Binomial coefficient,Polynomial,1
7,Partial fraction decomposition,Arithmetic,1
8,Sine,Geometry,1
9,Algebraic equation,Mathematics,1
10,Polygon,Line segment,1
11,Partial fraction decomposition,Factorization,1
12,Unit circle,Mathematics,1
13,Binomial theorem,Addition,1
14,Rational root theorem,Equality (mathematics),1
16,Algebraic equation,Equation,1
17,Algebraic expression,Algebra,1
19,Polynomial long division,Arithmetic,1
20,Rational root theorem,Rational number,1
21,Algebraic expression,Arithmetic,1
22,Exponential growth,Arithmetic,1
23,Rotation (mathematics),Mathematics,1
24,Continuous function,Mathematics,1
25,Linear inequality,Number,1
26,Minor (linear algebra),Matrix (mathematics),1
27,Asymptote,Mathematics,1
28,Product (mathematics),Mathematics,1
29,Linear function,Mathematics,1
30,Factorization,Multiplication,1
32,Homogeneous polynomial,Arithmetic,1
33,Partial fraction decomposition,Number,1
34,Binomial theorem,Polynomial,1
35,Arithmetic,Mathematics,1
36,Eccentricity (mathematics),Curve,1
37,Imaginary number,Number,1
38,Dependent and independent variables,Function (mathematics),1
39,Chord (geometry),Circle,1
40,Parallel (geometry),Line (geometry),1
41,Trigonometric functions,Mathematics,1
42,Polynomial,Addition,1
44,Algebra,Number,1
45,Sine wave,Mathematics,1
46,Circle,Geometry,1
47,Empty sum,Arithmetic,1
49,Synthetic division,Polynomial long division,1
50,Inequality (mathematics),Mathematics,1
52,Multiplicative inverse,Division (mathematics),1
53,Synthetic division,Mathematics,1
55,Function composition,Function (mathematics),1
56,Radius,Line segment,1
57,Linear equation,Line (geometry),1
59,Division by zero,Mathematics,1
60,Natural logarithm,E (mathematical constant),1
61,Line–line intersection,Point (geometry),1
62,Inequality (mathematics),Equality (mathematics),1
63,Square root,Mathematics,1
64,Slope,Mathematics,1
65,Unit circle,Curve,1
66,Imaginary number,Real number,1
68,Mathematical proof,Mathematics,1
69,Limit of a function,Function (mathematics),1
70,Law of sines,Line segment,1
73,Coordinate system,Geometry,1
